"";"X1";"X2";"X3";"X4";"X5"
"Dim";7786;6247;1625;1127;145
"Age";21;21;21;21;21
"Genre";2;1;1;1;1
"Niveau";3;3;3;3;3
"StudyHuma";0;0;0;0;0
"StudyProf";0;0;0;0;0
"StudyLawEco";0;0;0;0;0
"StudyScience";0;0;0;0;0
"StudyMed";0;0;0;0;0
"StudyAutre";0;0;0;0;0
"FreqBinge";0;1,01052631578947;3;2;3
"NbMaxOcc";4;7;10;9;10
"FreqConso";1;2;3;3;3
"NbVerreMoy";1;1,15294117647059;2;2;2
"FreqSupSixVerre";1;1,66666666666667;3;2;3
"a1";0;0;0;0;1
"a2";0;0;0;1;1
"a3";0;0;0;0;1
"a4";0;0;0;0;1
"a5";0;0;0;0;1
"a6";0;0;0;1;2
"a7";0;0;0;0;1
"a8";0;0;0;0;1
"a9";0;0;0;0;1
"a10";0;0;0;1;2
"a11";0;0;0;0;1
"a12";0;0;0;0;1
"a13";0;0;0;0;1
"a14";0;0;0;0;1
"a15";0;0;0;1;1
"a16";0;0;0;0;0
"a17";0;0;0;1;2
"a18";0;0;0;0;1
"a19";0;0,168831168831169;0;1;2
"a20";0;0;0;0;1
"a21";0;0;0;0;2
"a22";0;0,164556962025316;0;1;2
"a23";0;0;0;0;2
"a24";0;0;0;0;1
"a25";0;0;0;1;1
"a26";0;0;0;1;2
"a27";0;0;0;1;2
"a28";0;0;0;0;1
"a29";0;0;0;0;1
"a30";0;0;0;0;1
"a31";0;0;0;0;1
"a32";0;0;0;1;2
"a33";0;0,259259259259259;0;1;2
"a34";0;0,623529411764706;1;2;2
"Etudes";0;0;0;1;1
"Tabac";0,952941176470588;1,3855421686747;3;3;3
"Cannabis";0;0,963414634146341;1;1;1
"Cocaine";0;0;0;0;0
"Heroine";0;0;0;0;0
"MD";0;0;0;0;0
"Poppers";0;0,132530120481928;0;0;0,177215189873418
"Jeu";0;0,441558441558442;0;0;0,69047619047619
"FeteImagePerso";1;1,93333333333333;4;2;4
"FeteEtre";1;1,64705882352941;4;2;3
"FetePerso";1;1,75324675324675;4;2;4
"FeteQuotidien";1;1,48192771084337;3;2;3
"FeteImageAutre";1;1,75324675324675;4;2;4
"Mobilite";1;1;1;1;1
"Autonomie";1;1;1;1;1
"Habitudes";1;1;1;1;2
"Douleur";1;1;1;1;1,21518987341772
"Depression";1;1,25333333333333;1;2;2
"LogFamille";0;0;0;0;0
"LogInd";0;0;1;0;0
"LogRes";0;0;0;0;0
"LogAutre";0;0;0;0;0
"Seul";0;0;0;0;0
"Couple";0;0;0;0;0
"Enfants";0;0;0;0;0
"ColocFriend";0;0;0;0;0
"ColocAutres";0;0;0;0;0
"Argent";0,837209302325581;0,867469879518072;1;1;1
"MaladieChroniqueBool";0;0;0;0;0
"Bourse";0,183012710408794;0,301204819277108;0;0;0
